,Non-Ferrous Metals (usd/ton),Iron and Ferro-Alloys (usd/ton),Precious Metals (usd/ton),Mineral Fuels (usd/ton)
40,0.00020043055819926413,0.0,0.2606355714705019,0.0008064754367075872
41,0.0006991515987722813,inf,298.2850030588235,0.0001197877564245172
42,inf,inf,inf,0.00014250042524845588
43,0.0013730283604052294,0.0014432346228271835,15.201149428571428,8.73079915425589e-05
44,0.0268685419635898,,0.0,0.000259789245401884
45,0.0003626355753734811,0.938204228030303,215.0267453157895,1.5555285050928583e-05
46,1.2459139782689748e-06,3.021473021579686e-06,0.0,0.008225913210119798
47,0.0,,,3.940052102534477e-05
48,inf,inf,inf,0.000141280075772416
49,0.003339823528092408,inf,0.0,0.00034224322074062846
50,0.06310351221768937,inf,inf,0.0002493479366702495
51,,inf,inf,0.0
52,0.017936689132762314,0.008162516742300152,2.7777861325301205,0.0023648336327207406
53,0.0019742157751586583,0.0,0.1445675,0.0003558037
54,0.006228958405879709,5.735767022971118e-05,0.10205541324200913,inf
55,0.009359919051481095,0.011485574512266115,12.363614785714287,0.0
56,0.0,0.0012747603569333258,67.25428013888889,6.618977713482531e-05
57,0.009495698425674933,0.5177102106969206,18.173992765957447,0.0
58,inf,inf,inf,0.00010250099953181246
59,0.0,0.0,0.0,0.0003647183550587803
60,0.0,0.0,0.0,0.0001510155425530608
61,0.0022723184891922346,0.03734938497930219,0.03309350411985019,0.00014834745839385844
62,0.007847835717800053,3.2721009463722395e-05,inf,0.0002610858902198685
63,,0.0,,0.00041269010689018757
64,0.0,0.000473276607187446,14.818592268041238,0.014817033075422483
65,0.008059954794520548,,,0.00022877858346202445
66,inf,,inf,0.0
67,0.0,0.0,0.0,0.00039316144810949097
68,,,inf,0.0
69,,,,0.001979615522862202
70,0.00026148384336340804,inf,inf,0.0005676309890175748
71,,,inf,0.0002572623290470919
72,,,,0.00033751493579845573
73,0.00047458838008615126,0.00011860261363636363,68.72444444444444,0.00037585277060306886
74,0.2321247959413754,0.005390159274193548,inf,9.64357884002645e-07
75,0.0,0.0,0.0,inf
76,,0.02443649103544128,,0.0
77,inf,,inf,0.0
78,,,,0.00040047323602591906
79,inf,inf,inf,2.3056276168578765e-06
80,0.24972502424977266,inf,37.63592,0.0005973912896026606
81,,,0.0,0.00048257596888437644
82,inf,,inf,inf
83,inf,,inf,0.00022149691290328143
84,inf,inf,,0.002527747523219814
85,0.019781361474435197,0.002201227224094154,0.0,0.001303052798645646
86,inf,0.0,,0.000310103486893548
87,0.011124986620879122,inf,inf,7.544999961278582e-05
88,0.0,,0.0,6.880334659800643e-06
89,inf,,inf,0.000481833027480846
90,0.0008936032225579053,0.006587386796445196,11.899955341085272,0.0
91,,0.0,0.0,0.000609742302348874
92,0.017014358720930232,0.001985730520192903,6.263627883333333,0.0
93,,,,0.0005091094895512162
94,0.0,0.0004018150087260035,,0.000519366240446796
95,0.009343119605425401,,34.55903416666666,8.315065030002131e-05
96,0.14735865396471998,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0009410746632478633
98,inf,0.0,68.59792625,inf
99,,0.0,21.128398392156864,0.00016305166986564298
100,0.01385599698946312,inf,inf,0.00010553911722082137
101,0.0002948681157390208,,inf,0.0004776166339598353
102,0.06542510713677396,inf,20.950079818181816,0.0
103,,0.00023583366490564922,inf,inf
104,0.0,,0.0,0.0006358315502497108
105,0.00020642115164433398,0.0007980431671245497,111.74193275,0.000795432168780951
106,0.0,0.0021143252663537006,0.0,inf
107,0.0004657162751493385,inf,inf,0.0
108,inf,inf,inf,0.0
109,inf,0.0027234900588515984,13.3356094375,0.001601016129032258
110,0.012044079086115994,0.0008886417962607024,inf,0.00012591214133567222
111,0.004605662670099888,,322.692195,0.0
112,0.0,0.007774538386783284,32.46573,0.0
113,0.0,0.0,2.367007857142857,inf
114,,,0.0,0.0009004725093245282
115,,0.03682677075471698,,0.0008345702331606218
116,inf,inf,,inf
117,,,34.82628357894737,0.0
118,inf,,inf,inf
119,0.0,inf,inf,
120,inf,0.0,inf,0.00046632776567417087
121,0.02648915593220339,0.0,22.944019,inf
122,,,0.0,inf
123,inf,0.0,inf,0.0009385188757900399
124,0.0,0.0014168657182193668,0.9932637647058824,0.0
125,0.0008602199312714778,,2.6146881486486486,
126,0.0,0.009434481469499262,0.08205926666666666,
127,inf,0.11711815856777494,0.0,inf
128,inf,inf,inf,
129,,,inf,
130,,inf,,0.0007215181444900678
131,0.0,,0.0,
132,0.0015959019800173366,0.0,0.0,inf
133,inf,0.0,,inf
134,,,inf,0.0
135,,0.0002746828844483058,inf,
136,,0.0,inf,
137,,,,0.0
138,8.359500215424385e-05,inf,1.42543555,
139,,inf,,
140,,,inf,
141,,,,0.0
142,0.0,,0.0007608815789473685,inf
143,,,1.08425625,
144,,,0.0,inf
145,,5.37327935222672e-05,0.0,inf
146,,0.0,,0.0006937241413506992
147,,,,
148,inf,,,4.6740142035847144e-05
149,0.0,0.0,,
150,,0.0,,
151,0.0,,,0.0011473987306328168
152,inf,inf,inf,
153,0.005173947368421052,0.0,0.0,
154,,,0.0,inf
155,,inf,,inf
156,,,,
157,,,,
158,,inf,,
159,0.0,,,
160,,,,
161,0.0,0.0,0.289135,
162,,,0.0,
163,,,0.0,
164,,,0.0,
165,0.004018705507100617,0.00033368392566944093,8.285234802695582,0.00024500515006336935
